12:38:20.480 ->  SD OK
12:38:20.529 ->  BREAK STOP
12:38:20.767 ->  Controller Err
12:39:10.013 ->  SD OK
12:39:10.030 ->  BREAK STOP
12:39:10.269 ->  Controller Err
12:39:36.574 ->  SD OK
12:39:36.592 ->  BREAK STOP
12:39:36.828 ->  Controller Set
12:39:38.574 ->  START
12:39:38.763 ->  Speed:0.00 km/hr 
12:39:59.373 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:59.463 ->  (95,95,95,94,0.00,100,0)	FORWARD     94　95　
12:39:59.523 ->  (98,95,98,95,0.00,100,0)	FORWARD     95　96　97　98　
12:39:59.567 ->  (100,98,99,98,0.00,100,0)	FORWARD     98　99　
12:39:60.260 ->  (100,100,100,99,0.00,100,0)	FORWARD     99　100　
12:39:60.314 ->  (102,100,102,100,0.00,100,0)	FORWARD     100　101　102　
12:39:60.360 ->  (103,102,102,102,0.00,100,0)	FORWARD     102　
12:39:62.348 ->  (102,103,102,102,0.00,100,0)	FORWARD     
12:39:62.380 ->  (103,102,102,102,0.00,100,0)	FORWARD     102　
12:39:62.551 ->  (102,103,102,102,0.00,100,0)	FORWARD     
12:39:62.590 ->  (103,102,102,102,0.00,100,0)	FORWARD     102　
12:39:62.621 ->  (102,103,102,102,0.00,100,0)	FORWARD     
12:39:62.683 ->  (101,102,101,102,0.00,100,0)	FORWARD     102　101　
12:39:62.897 ->  (95,101,95,101,0.00,100,0)	FORWARD     101　100　99　98　97　96　95　
12:39:63.065 ->  (94,95,94,95,0.00,100,0)	BREAK STOPPING 
12:39:63.139 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.159 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.280 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.303 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.450 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:63.529 ->  Battery :12.46 V
12:39:63.668 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.766 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.786 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:63.919 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
