00:00:04.784 ->  SD OK~
00:00:04.809 ->  BREAK STOP~
00:00:05.047 ->  Controller Set~
00:00:06.795 ->  START~
00:01:19.077 ->  ERROR OCCUR  ~
00:01:19.097 ->  BREAK STOP  ~
00:01:19.226 ->  ERROR OCCUR  ~
00:01:19.244 ->  BREAK STOP  ~
00:01:19.264 ->  ERROR OCCUR  ~
00:01:19.282 ->  BREAK STOP  ~
00:01:19.401 ->  ERROR OCCUR  ~
00:01:19.420 ->  BREAK STOP  ~
00:01:19.541 ->  ERROR OCCUR  ~
00:01:19.560 ->  BREAK STOP  ~
00:01:19.679 ->  ERROR OCCUR  ~
00:01:19.699 ->  BREAK STOP  ~
00:01:19.717 ->  ERROR OCCUR  ~
00:01:19.737 ->  BREAK STOP  ~
00:01:19.856 ->  ERROR OCCUR  ~
00:01:19.876 ->  BREAK STOP  ~
00:01:19.995 ->  ERROR OCCUR  ~
00:01:20.014 ->  BREAK STOP  ~
00:01:20.136 ->  ERROR OCCUR  ~
00:01:20.154 ->  BREAK STOP  ~
00:01:20.174 ->  ERROR OCCUR  ~
00:01:20.192 ->  BREAK STOP  ~
00:01:20.312 ->  ERROR OCCUR  ~
00:01:20.332 ->  BREAK STOP  ~
00:01:20.452 ->  ERROR OCCUR  ~
00:01:20.471 ->  BREAK STOP  ~
00:01:20.591 ->  ERROR OCCUR  ~
00:01:20.610 ->  BREAK STOP  ~
00:01:20.739 ->  ERROR OCCUR  ~
00:01:20.758 ->  BREAK STOP  ~
00:01:20.776 ->  ERROR OCCUR  ~
00:01:20.795 ->  BREAK STOP  ~
00:01:20.915 ->  ERROR OCCUR  ~
00:01:20.935 ->  BREAK STOP  ~
00:01:21.058 ->  ERROR OCCUR  ~
00:01:21.076 ->  BREAK STOP  ~
00:01:21.195 ->  ERROR OCCUR  ~
00:01:21.213 ->  BREAK STOP  ~
00:01:21.343 ->  ERROR OCCUR  ~
00:01:21.362 ->  BREAK STOP  ~
00:01:21.380 ->  ERROR OCCUR  ~
00:01:21.399 ->  BREAK STOP  ~
00:01:21.518 ->  ERROR OCCUR  ~
00:01:21.537 ->  BREAK STOP  ~
00:01:21.658 ->  ERROR OCCUR  ~
00:01:21.676 ->  BREAK STOP  ~
00:01:21.795 ->  ERROR OCCUR  ~
00:01:21.813 ->  BREAK STOP  ~
00:01:21.833 ->  ERROR OCCUR  ~
00:01:21.852 ->  BREAK STOP  ~
00:01:21.981 ->  ERROR OCCUR  ~
00:01:22.001 ->  BREAK STOP  ~
00:01:22.120 ->  ERROR OCCUR  ~
00:01:22.138 ->  BREAK STOP  ~
00:01:22.258 ->  ERROR OCCUR  ~
00:01:22.276 ->  BREAK STOP  ~
00:01:22.399 ->  ERROR OCCUR  ~
00:01:22.417 ->  BREAK STOP  ~
00:01:22.437 ->  ERROR OCCUR  ~
00:01:22.455 ->  BREAK STOP  ~
00:01:22.575 ->  ERROR OCCUR  ~
00:01:22.594 ->  BREAK STOP  ~
00:01:22.713 ->  ERROR OCCUR  ~
00:01:22.732 ->  BREAK STOP  ~
00:01:22.853 ->  ERROR OCCUR  ~
00:01:22.873 ->  BREAK STOP  ~
00:01:22.893 ->  ERROR OCCUR  ~
00:01:22.911 ->  BREAK STOP  ~
00:01:23.030 ->  ERROR OCCUR  ~
00:01:23.049 ->  BREAK STOP  ~
00:01:23.169 ->  ERROR OCCUR  ~
00:01:23.188 ->  BREAK STOP  ~
00:01:23.307 ->  ERROR OCCUR  ~
00:01:23.327 ->  BREAK STOP  ~
00:01:23.346 ->  ERROR OCCUR  ~
00:01:23.365 ->  BREAK STOP  ~
00:01:23.484 ->  ERROR OCCUR  ~
00:01:23.504 ->  BREAK STOP  ~
00:01:23.623 ->  ERROR OCCUR  ~
00:01:23.642 ->  BREAK STOP  ~
00:01:23.762 ->  ERROR OCCUR  ~
00:01:23.782 ->  BREAK STOP  ~
00:01:23.908 ->  ERROR OCCUR  ~
00:01:23.928 ->  BREAK STOP  ~
00:01:23.946 ->  ERROR OCCUR  ~
00:01:23.966 ->  BREAK STOP  ~
00:01:24.086 ->  ERROR OCCUR  ~
00:01:24.105 ->  BREAK STOP  ~
00:01:24.224 ->  ERROR OCCUR  ~
00:01:24.243 ->  BREAK STOP  ~
00:01:24.364 ->  ERROR OCCUR  ~
00:01:24.383 ->  BREAK STOP  ~
00:01:24.402 ->  ERROR OCCUR  ~
00:01:24.420 ->  BREAK STOP  ~
00:01:24.540 ->  ERROR OCCUR  ~
00:01:24.560 ->  BREAK STOP  ~
00:01:24.681 ->  ERROR OCCUR  ~
00:01:24.701 ->  BREAK STOP  ~
00:01:24.821 ->  ERROR OCCUR  ~
00:01:24.840 ->  BREAK STOP  ~
00:01:24.967 ->  ERROR OCCUR  ~
00:01:24.986 ->  BREAK STOP  ~
00:01:25.005 ->  ERROR OCCUR  ~
00:01:25.024 ->  BREAK STOP  ~
00:01:25.143 ->  ERROR OCCUR  ~
00:01:25.163 ->  BREAK STOP  ~
00:01:25.284 ->  ERROR OCCUR  ~
00:01:25.302 ->  BREAK STOP  ~
00:01:25.421 ->  ERROR OCCUR  ~
00:01:25.440 ->  BREAK STOP  ~
00:01:25.460 ->  ERROR OCCUR  ~
00:01:25.478 ->  BREAK STOP  ~
00:01:25.597 ->  ERROR OCCUR  ~
00:01:25.619 ->  BREAK STOP  ~
00:01:25.738 ->  ERROR OCCUR  ~
00:01:25.758 ->  BREAK STOP  ~
00:01:25.879 ->  ERROR OCCUR  ~
00:01:25.897 ->  BREAK STOP  ~
00:01:26.023 ->  ERROR OCCUR  ~
00:01:26.042 ->  BREAK STOP  ~
00:01:26.061 ->  ERROR OCCUR  ~
00:01:26.080 ->  BREAK STOP  ~
00:01:26.200 ->  ERROR OCCUR  ~
00:01:26.220 ->  BREAK STOP  ~
00:01:26.339 ->  ERROR OCCUR  ~
00:01:26.359 ->  BREAK STOP  ~
00:01:26.480 ->  ERROR OCCUR  ~
00:01:26.498 ->  BREAK STOP  ~
00:01:26.628 ->  ERROR OCCUR  ~
00:01:26.648 ->  BREAK STOP  ~
00:01:26.667 ->  ERROR OCCUR  ~
00:01:26.686 ->  BREAK STOP  ~
00:01:26.805 ->  ERROR OCCUR  ~
00:01:26.825 ->  BREAK STOP  ~
00:01:26.945 ->  ERROR OCCUR  ~
00:01:26.964 ->  BREAK STOP  ~
00:01:27.084 ->  ERROR OCCUR  ~
00:01:27.102 ->  BREAK STOP  ~
00:01:27.122 ->  ERROR OCCUR  ~
00:01:27.140 ->  BREAK STOP  ~
