18:00:32.00-31236 ->  Speed:0.00 km/hr ~
18:00:32.00-31157 ->  Battery :12.28 V~
18:00:32.00-31085 ->  Speed:0.00 km/hr ~
18:00:32.00-31005 ->  Battery :12.34 V~
18:00:33.32603 ->  Speed:0.00 km/hr ~
18:00:33.32681 ->  Battery :12.30 V~
18:00:33.32753 ->  Speed:0.00 km/hr ~
18:00:33.00-32703 ->  Battery :12.31 V~
18:00:33.00-32631 ->  Speed:0.00 km/hr ~
18:00:33.00-32553 ->  Battery :12.30 V~
18:00:33.00-32478 ->  Speed:0.00 km/hr ~
18:00:33.00-32402 ->  Battery :12.36 V~
18:00:33.00-32330 ->  Speed:0.00 km/hr ~
18:00:33.00-32250 ->  Battery :12.30 V~
18:00:33.00-32179 ->  Speed:0.00 km/hr ~
18:00:33.00-32100 ->  Battery :12.28 V~
18:00:33.00-32028 ->  Speed:0.00 km/hr ~
18:00:34.31588 ->  Battery :12.28 V~
18:00:34.31659 ->  Speed:0.00 km/hr ~
18:00:34.31738 ->  Battery :12.33 V~
18:00:34.31810 ->  Speed:0.00 km/hr ~
18:00:34.31890 ->  Battery :12.27 V~
18:00:34.31961 ->  Speed:0.00 km/hr ~
18:00:34.32040 ->  Battery :12.27 V~
18:00:34.32112 ->  Speed:0.00 km/hr ~
18:00:34.32192 ->  Battery :12.28 V~
18:00:34.32263 ->  Speed:0.00 km/hr ~
18:00:34.32342 ->  Battery :12.33 V~
18:00:34.32414 ->  Speed:0.00 km/hr ~
18:00:34.32494 ->  Battery :12.27 V~
18:00:35.30566 ->  Speed:0.00 km/hr ~
18:00:35.30645 ->  Battery :12.33 V~
18:00:35.30717 ->  Speed:0.00 km/hr ~
18:00:35.30797 ->  Battery :12.30 V~
18:00:35.30868 ->  Speed:0.00 km/hr ~
18:00:35.30946 ->  Battery :12.28 V~
18:00:35.31021 ->  Speed:0.00 km/hr ~
18:00:35.31098 ->  Battery :12.30 V~
18:00:35.31170 ->  Speed:0.00 km/hr ~
18:00:35.31250 ->  Battery :12.30 V~
18:00:35.31321 ->  Speed:0.00 km/hr ~
18:00:35.31400 ->  Battery :12.31 V~
18:00:35.31472 ->  Speed:0.00 km/hr ~
18:00:36.29552 ->  Battery :12.36 V~
18:00:36.29623 ->  Speed:0.00 km/hr ~
18:00:36.29702 ->  Battery :12.27 V~
18:00:36.29774 ->  Speed:0.00 km/hr ~
18:00:36.29854 ->  Battery :12.31 V~
18:00:36.29925 ->  Speed:0.00 km/hr ~
18:00:36.30004 ->  Battery :12.25 V~
18:00:36.30078 ->  Speed:0.00 km/hr ~
18:00:36.30156 ->  Battery :12.28 V~
18:00:36.30227 ->  Speed:0.00 km/hr ~
18:00:36.30306 ->  Battery :12.28 V~
18:00:36.30378 ->  Speed:0.00 km/hr ~
18:00:36.30458 ->  Battery :12.27 V~
18:00:36.30530 ->  Speed:0.00 km/hr ~
